20 - 24;1,8570372523037877;1,8605674514597534
45 - 49;1,8870646597435112;1,8780438582792849
30 - 34;1,860163848891172;1,7980142423175087
25 - 29;1,8518972020726143;1,7967813307711014
18 - 19;1,8582110117561401;1,8632943233272996
55 - 59;1,884087299920028;1,899649123325387
50 - 54;1,896511051374036;1,9174131808517814
70 - 74;1,8673974365354846;1,9194831935320247
35 - 39;1,9110827161647206;1,9076691036973779
60 - 64;1,886034053417646;1,9249100715850185
65 - 69;1,860645306349488;1,7407268183828788
40 - 44;1,8518879525724747;1,7222478779370871
